titre;sous_titre;description;cat;sous_cat;link;link_title;lieu;img;img_alt;date
Violon de Curt Oltzscher;;;Cordes;;./1029554-violon-curt-oltzscher.aspx;Description du violon de Curt Oltzscher de 1916;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000009700/1029554_230x230.jpg;Photographie de Violon de Curt Oltzscher;
Violon de Pierre Hel;;;Cordes;;./0158353-violon-pierre-hel.aspx;Description du violon de Pierre Hel de 1924;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000002600/CMIM000023595_230x230.jpg;Photographie de Violon de Pierre Hel;
violon "le Alard" de Guarnerius Del Gesù;;;Cordes;;./0157816-violon-le-alard-de-guarnerius-del-gesu.aspx;Description du violon le Alard de Guarnerius del Gesu de 1742;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000001700/CMIM000013647_230x230.jpg;Photographie de violon "le Alard" de Guarnerius Del Gesù;
Violon "le Davidoff" de Antonio Stradivari;;;Cordes;;./0130508-violon-le-davidoff-antonio-stradivari.aspx;Description du violon le Davidoff de Antonio Stradivari de 1708;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000000600/CMIM000013634_230x230.jpg;Photographie de Violon "le Davidoff" de Antonio Stradivari;
Violoncelle de Pietro Guarneri;;;Cordes;;./0157852-violoncelle-pietro-guarneri.aspx;Description du violonecelle de Pietro Guarneri de 1734;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000001900/CMIM000013697_230x230.jpg;Photographie de Violoncelle de Pietro Guarneri;
Violoncelle, dit "le poilu";;;Cordes;;./0159993-violoncelle-de-campagne-neyen-et-plicque.aspx;Description du violoncelle de campagne de Neyen & Plicque - Juin 1915;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000008600/CMIM000032565_230x230.jpg;Photographie de Violoncelle, dit "le poilu";
Violoncelle à pavillon "Stroviols";;;Cordes;;./1003423-violoncelle-a-pavillon-stroviols.aspx;Description du violoncelle à pavillon - Vers 1925;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000006800/CMIM00032083_230x230.jpg;Photographie de Violoncelle à pavillon "Stroviols";
Clavioline;;;Electronique;;./0160198-clavioline-selmer.aspx; Description du clavioline par Constant Martin- 1954;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000010000/160198_CMIM000022719_230x230.jpg;Photographie de Clavioline;
Ondes Martenot;;;Electronique;;./0162041-ondes-martenot.aspx; Description des ondes Martenot - Vers 1930;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000005700/CMIM000015258_230x230.jpg;Photographie de Ondes Martenot;
Ondioline - Georges Jenny;;;Electronique;;./0156680-ondioline-georges-jenny.aspx; Description de l'ondioline par Georges Jenny - 1942;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000010100/156680_CMIM000015140_230X230.jpg;Photographie de Ondioline - Georges Jenny;
Theremin R.C.A.;;;Electronique;;./0156615-theremin-r-c-a.aspx; Description du theremin R.C.A. 1929;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000001000/CMIM00022673_230x230.jpg;Photographie de Theremin R.C.A.;
Synthétiseur EMS;;;Electronique;;./1004908-synthetiseur-synthi-a-ems.aspx; Description du synthétiseur EMS de 1971;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000006900/CMIM000032092_235x235.jpg;Photographie de Synthétiseur EMS;
Synthétiseur modular system;;;Electronique;;./0156829-synthetiseur-modular-system-e-mu.aspx; Description du synthétiseur modular system de 1976;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000008500/CMIM000022677_230x230.jpg;Photographie de Synthétiseur modular system;
Station informatique de l'Ircam;;;Electronique;;./0158770-station-informatique-4x-ircam.aspx; La station informatique de l'Ircam de 1984;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000008800/CMIM000022682_230x230.jpg;Photographie de Station informatique de l'Ircam;
UPIC (Unité Polyagogique Informatique du CEMAMu);;;Electronique;;./0130439-upic-unite-polyagogique-informatique-du-cemamu-e992191-5.aspx;UPIC (Unité Polyagogique Informatique du CEMAMu);;https://drop.philharmoniedeparis.fr/CMFM/CMFM000012900/0130435_CMIM000029115_LD.jpg;Photographie de UPIC (Unité Polyagogique Informatique du CEMAMu);
Violon électronique - Max Mathews, Bell Laboratories;;;Electronique;;./0130489-violon-electronique-max-mathews-bell-laboratories.aspx;Violon électronique - Max Mathews, Bell Laboratories -1985;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000010200/130489_CMIM000022671_230x230.jpg;Photographie de Violon électronique - Max Mathews, Bell Laboratories;
L'atelier Jubal;;;Oeuvre;;./0156816-latelier-de-jubal.aspx;Description de l'atelier Jubal - Attribué à Bon Boullogne - 2e moitié du XVIIe siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000009600/CMIM000023707_230x230.jpg;Photographie de L'atelier Jubal;
Niccolò Paganini - portrait charge;;;Oeuvre;;./0156394-niccolo-paganini-portrait-charge.aspx; Description de l'oeuvre d'art - Niccolò Paganini - portrait charge de Jean-Pierre Dantan en 1832;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000008000/CMIM000022737_230x230.jpg;Photographie de Niccolò Paganini - portrait charge;
La leçon de musique;;;Oeuvre;;./0159054-la-lecon-de-musique-jean-marc-nattier.aspx
; Description de la leçon de musique de Jean-marc Nattier en 1710;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000008100/CMIM000023708_230x230.jpg;Photographie de La leçon de musique;
Portait d'homme avec flûte;;;Oeuvre;;./0156670-portrait-dhomme-avec-flute.aspx; Description du portait d'homme avec flûte - Vers 1740 ? par l'école française;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000008200/CMIM000023153_230x230.jpg;Photographie de Portait d'homme avec flûte;
Portait de Gabriel Fauré;;;Oeuvre;;./0157137-portrait-de-gabriel-faure.aspx; Description du portait de Gabriel Fauré de John Singer Sargent vers 1889;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000008300/CMIM000021216_235x235.jpg;Photographie de Portait de Gabriel Fauré;
Portait de Ludwig Van Beethoven;;;Oeuvre;;./0157970-portrait-de-ludwig-van-beethoven.aspx; Description du portait de Ludwig Van Beethoven vers 1905;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000008400/CMIM000029211_230x230.jpg;Photographie de Portait de Ludwig Van Beethoven;
Orchestre Gamelan;;;Percussions;;./0156481-orchestre-gamelan.aspx; Description de l'orchestre Gamelan - Avant 1887;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000000800/CMIM00015875_230x230.jpg;Photographie de Orchestre Gamelan;
xylophone Marimba;;;Percussions;;./0160072-xylophone-marimba-reynaldo-gutierrez.aspx; Description du xylophone Marimba - Vers 1950;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000003800/CMIM00023631_230x230.jpg;Photographie de xylophone Marimba;
Orchestre Steel Band;;;Percussions;;./1005498-steel-band-pan-2000-and-beyond.aspx; Description de l'orchestre Steel Band - XXIe siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000007000/CMIM000032281_230x230.jpg;Photographie de Orchestre Steel Band;
Tabla;;;Percussions;;./0787875-tabla.aspx; Description du tabla - XIXe siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000007100/CMIM000027637_230x230.jpg;Photographie de Tabla;
Tambour sur pied Bulup;;;Percussions;;./0156750-tambour-sur-pied-bulup.aspx; Description du tambour sur pied bulup - Début XXe Siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000007800/CMIM000023338_230x230.jpg;Photographie de Tambour sur pied Bulup;
Tambour à fente Gugu;;;Percussions;;./0158909-tambour-a-fente-gugu-ou-gulu.aspx; Description du Tambour à fente Gugu - Début XXe siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000007300/CMIM000018290_230x230.jpg;Photographie de Tambour à fente Gugu;
Tambour de poitrine Nfunkula;;;Percussions;;./0158746-tambour-de-poitrine-nfunkula.aspx; Description du Tambour de poitrine Nfunkula - Deuxième moitié du XIXe siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000007400/CMIM000015518_230x230.jpg;Photographie de Tambour de poitrine Nfunkula;
Timbale;;;Percussions;;./0156746-timbale.aspx; Description de la Timbale - Début XXE Siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000007900/CMIM000023431_230x230.jpg;Photographie de Timbale;
